sp_world_size,tp_world_size,batch_size,A,B,C
1,1,1.0,18.430574311943786,0.1379515610637034,5.001758819150881e-06
2,1,1.0,22.66564807213835,0.06862034495725422,2.5143330036198064e-06
1,2,1.0,16.86362619041683,0.07984949464370102,2.508286321756259e-06
4,1,1.0,29.532064137820093,0.04191344009594577,1.2853429227008273e-06
2,2,1.0,21.778825461463946,0.04646657083835285,1.294495581963262e-06
1,4,1.0,16.780732410806735,0.05623356752270687,1.3012322568548007e-06
8,1,1.0,43.513206933291684,0.02702529607474891,6.226131169274896e-07
4,2,1.0,32.81975710690035,0.06622888563264719,3.4668779336222144e-07
2,4,1.0,17.65347367286857,0.06409614357330415,7.429483019349981e-07
1,8,1.0,17.779944265889846,0.06488624308215217,6.576104378125391e-07
3,1,1.0,27.74702247603182,0.04895026911196957,1.6118566796771705e-06
3,2,1.0,29.823015735817016,0.04071136571736365,7.730817223466913e-07
5,1,1.0,35.84014120663561,0.03605272200406284,9.959725909697292e-07
6,1,1.0,42.52819646919314,0.03001274826503386,1.1717494897978131e-06
7,1,1.0,42.95076749791036,0.027644216805859285,1.0556460818891833e-06
