sp_world_size,tp_world_size,batch_size,A,B,C
1,1,1.0,22.391817938311156,0.10011306651471531,0.0001992353990159651
2,1,1.0,27.386889452475234,0.04711575661139494,7.443137589640408e-05
1,2,1.0,18.54887778075843,0.0673534411894404,4.378748052279169e-05
4,1,1.0,34.132418118725504,0.02277942146555999,0.000102599293278164
2,2,1.0,22.297154922452556,0.047738170796789305,1.2215167001124183e-05
1,4,1.0,15.980666780804619,0.06394513236900046,-5.847566002845084e-05
8,1,1.0,51.13332390919801,0.004048877632316869,8.129727429500785e-05
4,2,1.0,28.88460398049078,0.1579841237375199,0.0005262291204466696
2,4,1.0,23.20886191413831,0.04149197354170172,-1.050273864488388e-05
1,8,1.0,18.032062752681906,0.07328981967087504,-9.27806560593325e-05
3,1,1.0,31.823481846500933,0.0298616909235,0.0001030926466303872
3,2,1.0,20.69343388131105,0.15582124646819093,0.0007242072074900574
5,1,1.0,46.781388534987826,-0.010797203612730576,0.00027651511280675153
6,1,1.0,48.08943789224467,0.006285356600368797,0.00018049752609686394
7,1,1.0,50.15269384499961,0.00416067310332947,8.133707791422098e-05
